Date,Open,High,Low,Close,Adj Close,Volume
2015-11-27,280.000000,280.000000,280.000000,280.000000,271.466522,0
2015-11-30,275.000000,275.000000,260.000000,267.000000,258.862732,89639
2015-12-01,268.500000,272.000000,259.049988,261.500000,253.530350,114260
2015-12-02,261.500000,263.000000,259.000000,261.000000,253.045563,45442
2015-12-03,261.000000,267.000000,257.000000,258.000000,250.136993,139377
2015-12-04,258.000000,265.000000,254.000000,265.000000,256.923645,37680
2015-12-09,260.000000,265.000000,252.000000,256.000000,248.197952,208105
2015-12-10,259.000000,259.000000,252.000000,253.000000,245.289352,72241
2015-12-11,254.000000,254.000000,243.500000,245.000000,237.533203,89075
2015-12-14,244.000000,245.000000,234.000000,235.000000,227.837936,118395
2015-12-15,236.000000,245.000000,236.000000,237.000000,229.776993,72524
2015-12-16,240.000000,242.000000,230.000000,233.000000,225.898926,33824
2015-12-17,239.000000,239.000000,223.100006,231.000000,223.959854,37801
2015-12-18,234.500000,234.500000,215.000000,218.000000,211.356049,55605
2015-12-21,220.000000,230.000000,213.000000,219.750000,213.052734,75609
2015-12-22,219.000000,225.000000,217.500000,220.000000,213.295105,61120
2015-12-23,225.000000,236.899994,225.000000,231.500000,224.444641,66780
2015-12-28,230.899994,230.899994,223.000000,230.000000,222.990341,82352
2015-12-29,228.100006,233.000000,225.100006,226.000000,219.112228,89229
2015-12-30,227.000000,227.250000,217.500000,219.949997,213.246628,53060
2016-01-04,220.000000,222.000000,214.000000,220.000000,213.295105,80920
2016-01-05,225.000000,225.000000,216.600006,218.949997,212.277100,38760
2016-01-06,217.000000,218.000000,210.000000,215.050003,208.495972,49640
2016-01-07,208.300003,223.000000,208.300003,218.000000,211.356049,78032
2016-01-08,219.050003,221.000000,209.300003,213.000000,206.508438,80690
2016-01-11,213.550003,215.000000,198.500000,201.000000,194.874146,96625
2016-01-12,202.949997,205.000000,192.600006,196.500000,190.511307,59476
2016-01-13,196.899994,201.500000,185.000000,187.000000,181.300842,84189
2016-01-14,187.000000,195.000000,187.000000,195.000000,189.057007,37368
2016-01-15,187.500000,193.000000,186.000000,190.000000,184.209412,65720
2016-01-18,190.000000,190.000000,182.500000,184.000000,178.392273,20621
